timestamp,signal,value,label,true_ttf
10663,heap_free,6264,faulty,2.447
10663,heap_used,1848,faulty,
10663,loop_latency,0,faulty,
10763,heap_free,6000,faulty,2.344
10763,heap_used,2112,faulty,
10764,loop_latency,0,faulty,
10864,heap_free,5736,faulty,2.241
10864,heap_used,2376,faulty,
10864,loop_latency,0,faulty,
10964,heap_free,5472,faulty,2.138
10965,heap_used,2640,faulty,
10965,loop_latency,1,faulty,
11065,heap_free,5208,faulty,2.034
11065,heap_used,2904,faulty,
11065,loop_latency,0,faulty,
11166,heap_free,4944,faulty,1.931
11166,heap_used,3168,faulty,
11166,loop_latency,0,faulty,
11266,heap_free,4680,faulty,1.828
11266,heap_used,3432,faulty,
11267,loop_latency,0,faulty,
11367,heap_free,4416,faulty,1.725
11367,heap_used,3696,faulty,
11367,loop_latency,0,faulty,
11467,heap_free,4152,faulty,1.622
11468,heap_used,3960,faulty,
11468,loop_latency,1,faulty,
11568,heap_free,3888,faulty,1.519
11568,heap_used,4224,faulty,
11568,loop_latency,0,faulty,
11669,heap_free,3624,faulty,1.416
11669,heap_used,4488,faulty,
11669,loop_latency,0,faulty,
11769,heap_free,3360,faulty,1.312
11769,heap_used,4752,faulty,
11770,loop_latency,0,faulty,
11870,heap_free,3096,faulty,1.209
11870,heap_used,5016,faulty,
11870,loop_latency,0,faulty,
11970,heap_free,2832,faulty,1.106
11971,heap_used,5280,faulty,
11971,loop_latency,1,faulty,
12071,heap_free,2568,faulty,1.003
12071,heap_used,5544,faulty,
12071,loop_latency,0,faulty,
12172,heap_free,2304,faulty,0.9
12172,heap_used,5808,faulty,
12172,loop_latency,0,faulty,
12272,heap_free,2040,faulty,0.797
12272,heap_used,6072,faulty,
12273,loop_latency,0,faulty,
12373,heap_free,1776,faulty,0.694
12373,heap_used,6336,faulty,
12373,loop_latency,0,faulty,
12473,heap_free,1512,faulty,0.591
12474,heap_used,6600,faulty,
12474,loop_latency,1,faulty,
12574,heap_free,1248,faulty,0.487
12574,heap_used,6864,faulty,
12574,loop_latency,0,faulty,
12675,heap_free,984,faulty,0.384
12675,heap_used,7128,faulty,
12675,loop_latency,0,faulty,
12775,heap_free,720,faulty,0.281
12775,heap_used,7392,faulty,
12776,loop_latency,0,faulty,
12876,heap_free,456,faulty,0.178
12876,heap_used,7656,faulty,
12876,loop_latency,0,faulty,
12976,heap_free,192,faulty,0.075
12976,heap_used,7920,faulty,
12977,loop_latency,1,faulty,
13077,heap_free,192,faulty,0.075
13077,heap_used,7920,faulty,
